Nome;URL;Status;Data Criação (GitHub);Data 1º Commit (Real);Data Último Push;Hash 1º Commit;Hash Último Commit;Stars;Forks;Commits;Contribuintes;PRs Totais;Issues Open;Issues Closed;Churn Semanal;[Auto] Framework;[Auto] Integração;[Auto] Estrutura;[Auto] Evidência;Licença;Categ. Licença;[M] Desenvolvido Por;[M] Finalidade;[M] Estilo API;[M] Qtd Microfrontends;[M] Obs
jupyterlab/jupyterlab;https://github.com/jupyterlab/jupyterlab;Ativo;2016-06-03;2015-07-23;2025-12-03;e9f67ae;c3a51ae;14920;3819;26631;673;9032;2551;1000;0;React;Custom/Outra;Monorepo;Lerna, Yarn Workspaces;Other;Outra;;;;;
module-federation/module-federation-examples;https://github.com/module-federation/module-federation-examples;Ativo;2020-04-30;2020-03-06;2025-12-02;560fda6;f21c2df;6054;1838;3028;193;3612;65;552;31731;Agnostic/Outro;Custom/Outra;Monorepo;PNPM Workspaces;MIT License;Permissiva;;;;;
jupyterlite/jupyterlite;https://github.com/jupyterlite/jupyterlite;Ativo;2021-03-27;2021-03-27;2025-12-03;91368a2;64ec45e;4673;407;2915;74;857;241;513;3534;React;Custom/Outra;Monorepo;Lerna, Yarn Workspaces;"BSD 3-Clause ""New"" or ""Revised"" License";Permissiva;;;;;
originjs/vite-plugin-federation;https://github.com/originjs/vite-plugin-federation;Ativo;2021-08-04;2021-08-04;2025-05-17;f5bbbd6;91014da;2936;293;391;62;282;218;134;862;Agnostic/Outro;Custom/Outra;Monorepo;PNPM Workspaces;Other;Outra;;;;;
module-federation/core;https://github.com/module-federation/core;Ativo;2020-10-24;2020-10-24;2025-12-03;851877d;47f1818;2322;370;3290;183;3106;77;847;12352;Multi (Vue, Next.js, Qwik, React);Module Federation;Monorepo;Nx, PNPM Workspaces;MIT License;Permissiva;;;;;
pretzelai/pretzelai;https://github.com/pretzelai/pretzelai;Ativo;2024-03-12;2024-03-12;2024-12-01;e7798d2;95e7592;2177;161;191;14;110;33;22;8293;React;Custom/Outra;Monorepo;Lerna, Yarn Workspaces;Other;Outra;;;;;
ParabolInc/parabol;https://github.com/ParabolInc/parabol;Ativo;2015-12-21;2015-12-21;2025-12-03;ce344ba;4108f88;1986;354;15708;89;5404;130;1000;0;React;Module Federation;Monorepo;Nx, PNPM Workspaces;Other;Outra;;;;;
APIParkLab/APIPark;https://github.com/APIParkLab/APIPark;Ativo;2024-08-12;2024-08-12;2025-10-26;7c8d175;9192b39;1494;196;1536;20;244;45;125;7503;Agnostic/Outro;Custom/Outra;Polyrepo (Provável);Nenhuma config;Apache License 2.0;Permissiva;;;;;
ModelEngine-Group/app-platform;https://github.com/ModelEngine-Group/app-platform;Ativo;2025-03-31;2025-03-01;2025-11-29;b2a02b3;078cfd0;1423;224;377;20;261;85;163;23555;Agnostic/Outro;Custom/Outra;Polyrepo (Provável);Nenhuma config;MIT License;Permissiva;;;;;
firecmsco/firecms;https://github.com/firecmsco/firecms;Ativo;2020-04-18;2020-04-11;2025-12-03;6508f8d;1e9a833;1241;214;3382;33;200;48;401;14294;React;Custom/Outra;Monorepo;Lerna;Other;Outra;;;;;
unadlib/fronts;https://github.com/unadlib/fronts;Ativo;2019-06-30;2019-06-30;2024-01-31;01e383d;cffe303;490;42;205;2;172;120;3;552;Agnostic/Outro;Custom/Outra;Monorepo;Lerna, Yarn Workspaces;MIT License;Permissiva;;;;;
KindaBrazy/LynxHub;https://github.com/KindaBrazy/LynxHub;Ativo;2023-10-08;2023-10-08;2025-11-30;674f9de;40a601b;377;12;1702;1;0;3;22;2280;React;Module Federation (Vite);Polyrepo (Provável);Nenhuma config;GNU Affero General Public License v3.0;Outra;;;;;
project-error/npwd;https://github.com/project-error/npwd;Ativo;2020-08-22;2020-08-22;2025-03-27;4b97eb4;0f08eeb;374;282;2583;88;669;108;428;3671;Agnostic/Outro;Custom/Outra;Monorepo;Turborepo, PNPM Workspaces;Other;Outra;;;;;
internettrans/simple-single-spa-webpack-example;https://github.com/internettrans/simple-single-spa-webpack-example;Ativo;2017-08-02;2017-08-02;2022-12-07;e5d8826;f5ea535;290;93;49;8;41;13;17;91;Multi (Angular, React);Single-SPA;Monorepo;Yarn Workspaces;MIT License;Permissiva;;;;;
mercedes-benz/DnA;https://github.com/mercedes-benz/DnA;Ativo;2021-10-26;2021-10-26;2025-12-03;68b60f7;b99a76a;282;23;906;40;4643;6;8;2280;Agnostic/Outro;Custom/Outra;Monorepo;Package.json Workspaces;MIT License;Permissiva;;;;;
jxxghp/MoviePilot-Frontend;https://github.com/jxxghp/MoviePilot-Frontend;Ativo;2023-06-24;2023-06-24;2025-11-25;5b9bf63;bb7ed7b;273;208;3118;43;337;16;53;3441;Vue;Module Federation (Vite);Monorepo;Yarn Workspaces;MIT License;Permissiva;;;;;
positive-intentions/chat;https://github.com/positive-intentions/chat;Ativo;2024-01-27;2024-01-27;2025-11-14;3313f1d;a4003c5;232;22;324;4;130;17;14;128667;Multi (LitElement, Next.js, React);Module Federation (Vite);Polyrepo (Provável);Nenhuma config;GNU General Public License v3.0;Outra;;;;;
single-spa/single-spa-angular;https://github.com/single-spa/single-spa-angular;Ativo;2016-11-13;2016-11-13;2025-06-19;d9761a2;98b25c0;210;78;391;29;226;43;284;775;Multi (Angular, React);SystemJS, Single-SPA;Monorepo;Nx, Yarn Workspaces;Apache License 2.0;Permissiva;;;;;
single-spa/single-spa-vue;https://github.com/single-spa/single-spa-vue;Ativo;2016-11-16;2016-11-15;2025-10-24;8bb58c9;9f0a9b6;189;44;107;22;64;13;53;134;Vue;Single-SPA;Polyrepo (Provável);Nenhuma config;MIT License;Permissiva;;;;;
SignalK/SensESP;https://github.com/SignalK/SensESP;Ativo;2019-05-27;2019-01-25;2025-08-08;d550570;ff31d1f;186;96;2135;37;582;62;151;17762;Agnostic/Outro;Custom/Outra;Polyrepo (Provável);Nenhuma config;Apache License 2.0;Permissiva;;;;;
taowen/vite-howto;https://github.com/taowen/vite-howto;Ativo;2022-04-28;2022-04-28;2022-07-27;28a84cd;49951a6;171;7;104;2;0;0;0;130;Agnostic/Outro;Custom/Outra;Monorepo;PNPM Workspaces;MIT License;Permissiva;;;;;
DIGI-UW/OpenELIS-Global-2;https://github.com/DIGI-UW/OpenELIS-Global-2;Ativo;2019-01-15;2018-12-05;2025-12-03;74c0012;4147aee;162;395;8786;75;1947;134;403;25589;Agnostic/Outro;Custom/Outra;Polyrepo (Provável);Nenhuma config;Other;Outra;;;;;
manfredsteyer/module-federation-with-angular-dynamic;https://github.com/manfredsteyer/module-federation-with-angular-dynamic;Ativo;2020-06-22;2020-06-22;2023-07-07;db516e0;07d9a2d;131;70;23;1;52;42;2;631;Angular;Module Federation (Angular), Module Federation;Monorepo;Yarn Workspaces;;Sem Licença;;;;;
bicarbon8/QuadSphere;https://github.com/bicarbon8/QuadSphere;Ativo;2018-10-29;2018-10-29;2023-03-21;c4e6032;57bb0ad;104;18;18;2;5;0;0;116;React;Module Federation (Vite);Polyrepo (Provável);Nenhuma config;;Sem Licença;;;;;
manfredsteyer/multi-framework-micro-frontend;https://github.com/manfredsteyer/multi-framework-micro-frontend;Ativo;2020-12-13;2020-11-07;2022-01-27;99910b2;507afac;81;37;11;1;2;12;2;749;Agnostic/Outro;Custom/Outra;Monorepo;Lerna;;Sem Licença;;;;;
openmrs/openmrs-esm-core;https://github.com/openmrs/openmrs-esm-core;Ativo;2020-08-22;2019-10-05;2025-12-03;517d384;7e32ecb;78;281;1833;83;1510;23;0;3046;Multi (Next.js, React);Custom/Outra;Monorepo;Turborepo, Yarn Workspaces;Other;Outra;;;;;
WJSoftware/vite-plugin-single-spa;https://github.com/WJSoftware/vite-plugin-single-spa;Ativo;2023-05-08;2023-05-08;2025-08-14;6c64810;c0c7bce;77;7;263;5;294;5;22;178;Agnostic/Outro;Single-SPA;Polyrepo (Provável);Nenhuma config;MIT License;Permissiva;;;;;
ringcentral/web-apps;https://github.com/ringcentral/web-apps;Ativo;2020-05-29;2020-05-29;2022-12-14;459c552;2b5206c;74;14;10;4;22;15;0;91;Agnostic/Outro;Custom/Outra;Monorepo;Lerna, Yarn Workspaces;;Sem Licença;;;;;
scayle/demo-add-on-vite;https://github.com/scayle/demo-add-on-vite;Ativo;2022-12-20;2022-12-20;2025-02-24;9d2b338;43e48cb;74;1;15;4;5;0;0;124;Vue;Single-SPA;Polyrepo (Provável);Nenhuma config;MIT License;Permissiva;;;;;
project-error/pefcl;https://github.com/project-error/pefcl;Ativo;2022-04-02;2021-09-04;2024-01-29;bc73da3;4915bd8;67;65;390;13;102;42;35;1818;Next.js;Custom/Outra;Monorepo;Nx, Yarn Workspaces;Other;Outra;;;;;
react-microfrontends/planets;https://github.com/react-microfrontends/planets;Ativo;2019-12-26;2019-12-26;2025-06-19;659a2bd;bf80c85;66;49;53;4;50;11;3;252;React;SystemJS, Single-SPA;Polyrepo (Provável);Nenhuma config;MIT License;Permissiva;;;;;
kylecannon/angular-dream-stack;https://github.com/kylecannon/angular-dream-stack;Ativo;2021-03-22;2021-03-26;2021-11-19;de7670b;c47a95f;62;20;12;2;1;0;2;71;Angular;Module Federation (Angular), Module Federation;Monorepo;Nx, Yarn Workspaces;MIT License;Permissiva;;;;;
AKASHAorg/akasha-core;https://github.com/AKASHAorg/akasha-core;Ativo;2019-03-26;2019-03-26;2025-12-02;8a70f1f;7c33f8a;58;17;2206;17;1891;11;730;8843;Multi (LitElement, Next.js, React);SystemJS, Single-SPA;Monorepo;Nx, Yarn Workspaces;GNU Affero General Public License v3.0;Outra;;;;;
single-spa-workshop/microfrontend-fundamentals;https://github.com/single-spa-workshop/microfrontend-fundamentals;Ativo;2020-12-29;2020-12-29;2023-05-17;28011f7;348165c;57;41;25;1;2;3;0;86;Multi (Vue, Angular, React);SystemJS, Single-SPA;Polyrepo (Provável);Nenhuma config;MIT License;Permissiva;;;;;
wasedatime/wasedatime-web;https://github.com/wasedatime/wasedatime-web;Ativo;2017-12-17;2017-12-17;2025-12-03;472080d;24206c4;52;16;1969;22;487;26;30;8709;Agnostic/Outro;Custom/Outra;Monorepo;Turborepo, PNPM Workspaces;MIT License;Permissiva;;;;;
vitorlofonseca/microfrontend-vue-and-vite;https://github.com/vitorlofonseca/microfrontend-vue-and-vite;Ativo;2022-12-15;2022-12-15;2023-12-27;2ebe38a;4b68b2b;49;22;59;4;3;1;0;346;Agnostic/Outro;Module Federation (Vite);Monorepo;PNPM Workspaces;;Sem Licença;;;;;
mizx/module-federation-examples;https://github.com/mizx/module-federation-examples;Ativo;2020-03-06;2020-03-06;2023-01-06;1883d26;39281ec;46;16;34;1;28;23;0;181;Agnostic/Outro;Custom/Outra;Monorepo;Lerna, Yarn Workspaces;MIT License;Permissiva;;;;;
angular-microfrontends/root-config;https://github.com/angular-microfrontends/root-config;Ativo;2020-04-20;2020-04-20;2025-11-26;471db12;706392c;43;19;52;5;24;6;2;174;Agnostic/Outro;SystemJS, Single-SPA;Polyrepo (Provável);Nenhuma config;MIT License;Permissiva;;;;;
benorama/mfe-advanced-demo;https://github.com/benorama/mfe-advanced-demo;Ativo;2020-12-13;2020-12-09;2022-12-20;90d36a9;4a35918;41;15;38;1;3;0;1;477;Angular;Module Federation (Angular), Module Federation;Monorepo;Nx, Yarn Workspaces;;Sem Licença;;;;;
vugar005/youtube-webapp-nx;https://github.com/vugar005/youtube-webapp-nx;Ativo;2022-02-13;2022-02-13;2025-02-25;77eafe2;bffb5cc;30;7;69;2;54;0;0;189;Angular;Module Federation (Angular), Module Federation;Monorepo;Nx;;Sem Licença;;;;;
hoangsonww/The-MovieVerse-Database;https://github.com/hoangsonww/The-MovieVerse-Database;Ativo;2023-04-08;2023-04-08;2025-11-27;dd0b61f;47b4084;30;16;3545;5;261;12;0;51801;Multi (Vue, Next.js, React);Single-SPA;Polyrepo (Provável);Nenhuma config;Other;Outra;;;;;
shengyusi-SYS/AniWell;https://github.com/shengyusi-SYS/AniWell;Ativo;2022-08-21;2022-08-21;2024-11-10;ade3bbc;8009f62;27;1;140;1;16;0;0;13474;Multi (Vue, LitElement);Module Federation (Vite);Monorepo;PNPM Workspaces;GNU General Public License v3.0;Outra;;;;;
iamgbayer/microfrontends;https://github.com/iamgbayer/microfrontends;Ativo;2018-12-26;2019-07-26;2022-12-10;3faa651;cf2bf72;26;1;61;4;34;14;0;66;React;Custom/Outra;Monorepo;Lerna, Yarn Workspaces;;Sem Licença;;;;;
hoangsonww/WeatherMate-App;https://github.com/hoangsonww/WeatherMate-App;Ativo;2023-04-12;2023-04-12;2025-10-29;e98f8ac;bddefae;25;19;273;2;18;3;0;1716;Multi (Vue, Next.js, React);Single-SPA;Monorepo;Yarn Workspaces;MIT License;Permissiva;;;;;
BrainDriveAI/BrainDrive-Core;https://github.com/BrainDriveAI/BrainDrive-Core;Ativo;2025-05-11;2025-05-12;2025-11-23;47cfe77;86f1a99;24;8;425;5;98;55;47;10175;Agnostic/Outro;Custom/Outra;Polyrepo (Provável);Nenhuma config;MIT License;Permissiva;;;;;
flyrain917/vite-micro;https://github.com/flyrain917/vite-micro;Ativo;2023-07-18;2023-07-18;2024-02-08;6eb5143;3706e88;23;1;33;4;0;0;0;894;Agnostic/Outro;Custom/Outra;Monorepo;PNPM Workspaces;MIT License;Permissiva;;;;;
hashaneranda/hotel-app;https://github.com/hashaneranda/hotel-app;Ativo;2021-06-08;2021-06-08;2021-06-11;da2e0e0;2d3493e;22;10;40;1;2;1;0;1027;Agnostic/Outro;Custom/Outra;Monorepo;Lerna, Yarn Workspaces;;Sem Licença;;;;;
hoangsonww/The-StickyNotes-App;https://github.com/hoangsonww/The-StickyNotes-App;Ativo;2023-05-12;2023-05-12;2025-10-29;00afd35;7ef28d4;21;8;323;2;28;3;0;1447;Multi (Vue, Next.js, React);Single-SPA;Monorepo;Yarn Workspaces;Apache License 2.0;Permissiva;;;;;
zurichat/zc_messaging;https://github.com/zurichat/zc_messaging;Ativo;2021-10-22;2021-10-24;2025-09-03;e1b0275;e9e229d;20;86;243;37;209;54;24;226;Agnostic/Outro;Custom/Outra;Polyrepo (Provável);Nenhuma config;;Sem Licença;;;;;
vercel/microfrontends;https://github.com/vercel/microfrontends;Ativo;2025-10-22;2025-10-22;2025-12-03;992d52c;62d24b1;18;3;25;3;25;2;0;4891;Agnostic/Outro;Custom/Outra;Monorepo;Turborepo, PNPM Workspaces;MIT License;Permissiva;;;;;
pirminrehm/ng-mf-shell;https://github.com/pirminrehm/ng-mf-shell;Ativo;2021-06-02;2021-05-28;2022-11-27;32c387e;097a399;17;0;14;2;0;1;0;178;Angular;Module Federation (Angular), Module Federation;Polyrepo (Provável);Nenhuma config;;Sem Licença;;;;;
npwd-community/npwd_services;https://github.com/npwd-community/npwd_services;Ativo;2022-08-15;2022-08-15;2024-03-02;0740dc6;7d2f2ca;16;25;25;6;9;12;2;66;Multi (Next.js, React);Module Federation (Vite);Monorepo;Yarn Workspaces;;Sem Licença;;;;;
filoxo/single-spa-example-shared-styled-components;https://github.com/filoxo/single-spa-example-shared-styled-components;Ativo;2020-07-10;2020-07-09;2023-03-06;12709fa;a032e47;16;3;71;2;104;33;2;419;Agnostic/Outro;Custom/Outra;Monorepo;Lerna, Yarn Workspaces;;Sem Licença;;;;;
npwd-community/npwd_qb_garage;https://github.com/npwd-community/npwd_qb_garage;Ativo;2022-08-14;2022-08-14;2024-01-19;890c644;124f63d;14;20;30;5;6;6;6;60;Multi (Next.js, React);Module Federation (Vite);Monorepo;Yarn Workspaces;;Sem Licença;;;;;
thawkin3/single-spa-demo-root-config;https://github.com/thawkin3/single-spa-demo-root-config;Ativo;2020-05-29;2020-05-29;2022-12-12;dfa7131;179ba4f;13;10;18;1;24;20;0;29;Agnostic/Outro;SystemJS, Single-SPA;Monorepo;Yarn Workspaces;;Sem Licença;;;;;
hoangsonww/RecipeGenie-App;https://github.com/hoangsonww/RecipeGenie-App;Ativo;2023-04-12;2023-04-12;2025-11-16;df4cd16;a8a81ec;13;6;115;3;10;2;1;576;Multi (Next.js, React);Single-SPA;Polyrepo (Provável);Nenhuma config;MIT License;Permissiva;;;;;
SoftServeInc/mfs-accelerator;https://github.com/SoftServeInc/mfs-accelerator;Ativo;2021-07-07;2021-07-07;2024-06-19;f4e5fa3;b57f9a5;13;2;22;2;12;2;0;88;Agnostic/Outro;Custom/Outra;Monorepo;Yarn Workspaces;Apache License 2.0;Permissiva;;;;;
petermikitsh/learn-single-spa;https://github.com/petermikitsh/learn-single-spa;Ativo;2021-02-13;2021-02-13;2021-02-16;4a6abd5;89931ea;12;4;106;1;0;1;1;689;Agnostic/Outro;Custom/Outra;Monorepo;Lerna, Yarn Workspaces;;Sem Licença;;;;;
ringcentral/ringcentral-mfe;https://github.com/ringcentral/ringcentral-mfe;Ativo;2024-02-26;2024-02-26;2025-09-12;872f401;f79e813;12;1;82;5;27;2;0;578;React;Custom/Outra;Monorepo;Lerna, Nx, Yarn Workspaces;MIT License;Permissiva;;;;;
ezhivitsa/microservices-starter;https://github.com/ezhivitsa/microservices-starter;Ativo;2020-11-28;2020-07-27;2021-11-05;1033492;0e1ec96;11;0;159;1;0;0;0;663;React;Custom/Outra;Monorepo;Yarn Workspaces;MIT License;Permissiva;;;;;
bicarbon8/JsVehicleTrafficSimulator;https://github.com/bicarbon8/JsVehicleTrafficSimulator;Ativo;2013-07-19;2013-07-19;2023-10-08;540ae6b;ec329af;11;2;88;3;21;13;2;910;Angular;Module Federation (Angular), Module Federation;Polyrepo (Provável);Nenhuma config;GNU General Public License v2.0;Outra;;;;;
dotuan9x/micro-frontends;https://github.com/dotuan9x/micro-frontends;Ativo;2021-06-29;2021-06-29;2021-08-20;a96c7eb;0ce6669;11;10;70;3;0;0;0;131;Agnostic/Outro;Custom/Outra;Monorepo;Lerna;;Sem Licença;;;;;
