repo_name;url;stars;forks;commits;contributors;open_issues;creation_date;last_push_date;license;language;has_license_file;Validacao_Tecnica;Evidencias;Tipo_Evidencia
grisabel/smart-saving-reports;https://github.com/grisabel/smart-saving-reports;1;0;105;3;1;2024-03-26T08:18:50+00:00;2024-05-26T09:52:00+00:00;;TypeScript;False;CONFIRMADO;vite-plugin-federation;Framework MFE
eric-nichols-nyc/ai-taskwizard;https://github.com/eric-nichols-nyc/ai-taskwizard;0;0;293;2;0;2025-06-01T16:14:11+00:00;2025-08-15T00:06:06+00:00;;TypeScript;False;MONOREPO (Indício);turbo, workspaces;Estrutura Monorepo
karmiy/kealm-demo;https://github.com/karmiy/kealm-demo;1;0;264;5;10;2020-07-04T05:53:51+00:00;2025-05-02T06:39:28+00:00;;JavaScript;False;INVESTIGAR (Resgate);packages;Estrutura de Pastas
Hai-Ba-Con-Ga/MomKitchen.AdminDashboard;https://github.com/Hai-Ba-Con-Ga/MomKitchen.AdminDashboard;1;0;73;2;0;2023-09-08T14:45:08+00:00;2023-11-07T19:35:59+00:00;;TypeScript;False;CONFIRMADO;vite-plugin-federation;Framework MFE
bicarbon8/QuadSphere;https://github.com/bicarbon8/QuadSphere;104;18;18;2;0;2018-10-29T15:09:52+00:00;2023-03-21T12:17:58+00:00;;C#;False;CONFIRMADO;vite-plugin-federation;Framework MFE
RZPJR/root-config;https://github.com/RZPJR/root-config;0;0;70;10;0;2023-11-08T12:12:35+00:00;2023-11-08T12:12:51+00:00;;JavaScript;False;CONFIRMADO;single-spa, systemjs;Framework MFE
csats/hd-aurora;https://github.com/csats/hd-aurora;0;0;34;1;0;2023-01-09T07:36:17+00:00;2023-01-25T21:57:07+00:00;;JavaScript;False;CONFIRMADO;single-spa, systemjs;Framework MFE
bicarbon8/bicarbon8.github.io;https://github.com/bicarbon8/bicarbon8.github.io;0;0;75;2;0;2016-05-01T07:23:51+00:00;2023-07-19T09:35:06+00:00;;TypeScript;False;CONFIRMADO;module-federation, @angular-architects/module-federation, zone.js;Framework MFE
IngenieroMaster58/mf-layout;https://github.com/IngenieroMaster58/mf-layout;0;0;15;1;0;2025-09-30T13:37:28+00:00;2025-10-07T22:33:51+00:00;;HTML;False;CONFIRMADO;module-federation, @angular-architects/module-federation, zone.js;Framework MFE
DavidBalazic/SmartShopperApp-MVP;https://github.com/DavidBalazic/SmartShopperApp-MVP;0;0;143;1;0;2025-10-25T17:49:11+00:00;2025-10-25T18:04:30+00:00;;JavaScript;False;INVESTIGAR (Resgate);frontend;Estrutura de Pastas
cglun/3d;https://github.com/cglun/3d;0;0;93;2;0;2025-06-08T05:05:56+00:00;2025-10-17T14:09:59+00:00;Apache License 2.0;TypeScript;True;CONFIRMADO;vite-plugin-federation;Framework MFE
FelipeMathieu/AngularGameOfLife;https://github.com/FelipeMathieu/AngularGameOfLife;0;0;42;1;0;2025-06-26T16:58:03+00:00;2025-07-23T17:29:15+00:00;;TypeScript;False;CONFIRMADO;single-spa, module-federation, @angular-architects/module-federation, zone.js;Framework MFE
jupyterlab/jupyterlab;https://github.com/jupyterlab/jupyterlab;14920;3819;26631;673;2551;2016-06-03T20:09:17+00:00;2025-12-03T18:45:44+00:00;Other;TypeScript;True;MONOREPO (Indício);lerna, workspaces;Estrutura Monorepo
ShootingersNew/meduza-header;https://github.com/ShootingersNew/meduza-header;0;0;26;1;0;2024-12-05T17:36:27+00:00;2025-10-09T09:14:20+00:00;;JavaScript;False;CONFIRMADO;vite-plugin-federation;Framework MFE
gyt95/h5;https://github.com/gyt95/h5;8;3;68;1;0;2022-10-21T23:56:09+00:00;2023-04-26T15:58:44+00:00;MIT License;TypeScript;True;CONFIRMADO;vite-plugin-federation;Framework MFE
Mego-Program/infra-bneibrak;https://github.com/Mego-Program/infra-bneibrak;0;3;133;6;2;2023-10-29T15:07:06+00:00;2024-03-12T11:53:20+00:00;;JavaScript;False;CONFIRMADO;vite-plugin-federation;Framework MFE
SpiseBowl/SpiseBowl-Mf-UI;https://github.com/SpiseBowl/SpiseBowl-Mf-UI;0;0;52;2;0;2025-03-26T17:04:07+00:00;2025-10-24T17:16:02+00:00;;JavaScript;False;CONFIRMADO;vite-plugin-federation;Framework MFE
ElaineCristinaG/angular-architects;https://github.com/ElaineCristinaG/angular-architects;0;0;97;1;0;2024-09-29T19:33:08+00:00;2024-10-24T22:55:50+00:00;;TypeScript;False;CONFIRMADO;module-federation, @angular-architects/module-federation, zone.js;Framework MFE
ral-facilities/inventory-management-system;https://github.com/ral-facilities/inventory-management-system;2;0;4864;10;110;2023-05-18T16:28:28+00:00;2025-12-03T18:49:24+00:00;Apache License 2.0;TypeScript;True;CONFIRMADO;single-spa;Framework MFE
Bishow-Thapa/mono-repo;https://github.com/Bishow-Thapa/mono-repo;0;0;33;1;0;2023-12-12T04:21:26+00:00;2024-04-28T17:46:17+00:00;;JavaScript;False;MONOREPO (Indício);lerna, workspaces;Estrutura Monorepo
manuelperche/N5-challenge;https://github.com/manuelperche/N5-challenge;0;0;21;2;0;2025-05-16T02:15:37+00:00;2025-05-17T23:38:20+00:00;;TypeScript;False;MONOREPO (Indício);turbo;Estrutura Monorepo
lehuyvu7971208/admin-panel;https://github.com/lehuyvu7971208/admin-panel;0;0;29;1;2;2023-10-09T06:24:38+00:00;2024-04-19T06:46:00+00:00;;Vue;False;CONFIRMADO;vite-plugin-federation;Framework MFE
GuBeLa/upg;https://github.com/GuBeLa/upg;0;0;53;3;0;2024-08-20T07:03:41+00:00;2024-08-20T10:36:54+00:00;;JavaScript;False;CONFIRMADO;vite-plugin-federation;Framework MFE
openemp/openemp-ui-drawer;https://github.com/openemp/openemp-ui-drawer;0;3;39;4;3;2020-05-27T14:05:50+00:00;2024-08-26T05:55:31+00:00;MIT License;JavaScript;True;CONFIRMADO;single-spa, systemjs;Framework MFE
eskandergharbi/gestionevenementfrontend;https://github.com/eskandergharbi/gestionevenementfrontend;0;0;38;1;0;2025-05-09T07:58:05+00:00;2025-05-14T14:41:04+00:00;;TypeScript;False;CONFIRMADO;module-federation, @angular-architects/module-federation, zone.js;Framework MFE
dashotv/ui;https://github.com/dashotv/ui;0;0;958;2;0;2022-09-25T19:00:56+00:00;2025-01-28T00:12:51+00:00;;TypeScript;False;CONFIRMADO;vite-plugin-federation;Framework MFE
akirayorunoe/pokedex-shell;https://github.com/akirayorunoe/pokedex-shell;0;0;13;1;0;2025-02-28T15:22:52+00:00;2025-05-17T06:22:18+00:00;;JavaScript;False;CONFIRMADO;vite-plugin-federation;Framework MFE
ShootingersNew/meduza-pet-footer;https://github.com/ShootingersNew/meduza-pet-footer;0;0;16;1;0;2025-02-08T12:44:55+00:00;2025-10-09T09:14:36+00:00;;TypeScript;False;CONFIRMADO;vite-plugin-federation;Framework MFE
GlebAO/svelte-react-module-federation-examples;https://github.com/GlebAO/svelte-react-module-federation-examples;7;0;18;2;0;2022-12-29T16:15:11+00:00;2023-02-01T08:23:50+00:00;;TypeScript;False;MONOREPO (Indício);workspaces;Estrutura Monorepo
ronaldohoch/panel-storybook-module-federation;https://github.com/ronaldohoch/panel-storybook-module-federation;0;1;19;2;0;2024-03-05T18:45:10+00:00;2024-03-13T17:15:48+00:00;;TypeScript;False;CONFIRMADO;module-federation, @angular-architects/module-federation, zone.js;Framework MFE
josemarsc/teste-tecnico-teddy;https://github.com/josemarsc/teste-tecnico-teddy;0;0;11;1;0;2024-11-07T16:18:35+00:00;2024-11-08T23:07:52+00:00;;TypeScript;False;CONFIRMADO;module-federation, @angular-architects/module-federation, zone.js;Framework MFE
internettrans/simple-single-spa-webpack-example;https://github.com/internettrans/simple-single-spa-webpack-example;290;93;49;8;13;2017-08-02T19:59:52+00:00;2022-12-07T17:21:32+00:00;MIT License;JavaScript;True;CONFIRMADO;single-spa, zone.js;Framework MFE
muhammadVohra787/Microservices-Chatbot-and-Community-App;https://github.com/muhammadVohra787/Microservices-Chatbot-and-Community-App;0;0;27;2;0;2025-03-28T22:38:41+00:00;2025-04-12T15:29:58+00:00;;JavaScript;False;INVESTIGAR (Resgate);client;Estrutura de Pastas
wasedatime/wasedatime-web;https://github.com/wasedatime/wasedatime-web;52;16;1969;22;26;2017-12-17T16:45:55+00:00;2025-12-03T15:06:07+00:00;MIT License;TypeScript;True;MONOREPO (Indício);turbo, workspaces;Estrutura Monorepo
ember-react-microfrontend/navbar;https://github.com/ember-react-microfrontend/navbar;0;0;48;4;0;2021-04-05T22:28:41+00:00;2021-04-05T22:28:51+00:00;;JavaScript;False;CONFIRMADO;single-spa;Framework MFE
Daily1Hour/PickMe-Report-Application;https://github.com/Daily1Hour/PickMe-Report-Application;0;0;277;1;0;2024-12-16T16:11:12+00:00;2025-04-18T14:04:08+00:00;;Vue;False;CONFIRMADO;single-spa, vite-plugin-federation;Framework MFE
flyingshoe/svelte-stock-avg-calc;https://github.com/flyingshoe/svelte-stock-avg-calc;0;0;21;1;0;2023-11-05T03:30:58+00:00;2024-01-31T17:18:05+00:00;;Svelte;False;CONFIRMADO;vite-plugin-federation;Framework MFE
fox-poc/mediacloud-ux-react-poc;https://github.com/fox-poc/mediacloud-ux-react-poc;0;0;23;1;0;2024-09-10T01:09:20+00:00;2024-09-17T22:45:12+00:00;;TypeScript;False;CONFIRMADO;single-spa;Framework MFE
Arfazappu/task-remote-app;https://github.com/Arfazappu/task-remote-app;0;0;11;1;0;2025-05-12T07:16:09+00:00;2025-05-14T06:31:09+00:00;;JavaScript;False;CONFIRMADO;vite-plugin-federation;Framework MFE
DavidSprla/mftv-movies;https://github.com/DavidSprla/mftv-movies;0;0;21;1;0;2021-08-26T19:43:15+00:00;2021-10-02T20:20:26+00:00;;Vue;False;CONFIRMADO;single-spa;Framework MFE
openmrs/openmrs-esm-core;https://github.com/openmrs/openmrs-esm-core;78;281;1833;83;23;2020-08-22T21:35:31+00:00;2025-12-03T20:49:46+00:00;Other;TypeScript;True;MONOREPO (Indício);turbo, workspaces;Estrutura Monorepo
darktrovx/npwd_groups;https://github.com/darktrovx/npwd_groups;8;3;13;1;0;2023-12-31T01:05:58+00:00;2024-03-04T18:29:05+00:00;;TypeScript;False;CONFIRMADO;vite-plugin-federation;Framework MFE
hashaneranda/hotel-app;https://github.com/hashaneranda/hotel-app;22;10;40;1;1;2021-06-08T06:59:57+00:00;2021-06-11T12:55:43+00:00;;JavaScript;False;MONOREPO (Indício);lerna;Estrutura Monorepo
pirminrehm/ng-mf-shell;https://github.com/pirminrehm/ng-mf-shell;17;0;14;2;1;2021-06-02T06:21:48+00:00;2022-11-27T13:22:29+00:00;;TypeScript;False;CONFIRMADO;module-federation, @angular-architects/module-federation, zone.js;Framework MFE
ugotafaro/event-social-network;https://github.com/ugotafaro/event-social-network;0;0;17;3;0;2025-01-15T00:02:22+00:00;2025-02-07T12:49:43+00:00;;JavaScript;False;INVESTIGAR (Resgate);frontend;Estrutura de Pastas
vsakaria/checkout;https://github.com/vsakaria/checkout;0;0;199;15;22;2020-05-07T10:16:23+00:00;2023-01-05T11:17:22+00:00;;TypeScript;False;CONFIRMADO;single-spa;Framework MFE
tekdi/shikshav2.0;https://github.com/tekdi/shikshav2.0;0;12;214;9;0;2024-12-18T11:29:04+00:00;2025-08-22T08:16:40+00:00;;JavaScript;False;CONFIRMADO;single-spa, module-federation, @module-federation/nextjs-mf;Framework MFE
itsaakashpatel/microfrontend_react;https://github.com/itsaakashpatel/microfrontend_react;0;0;30;2;0;2023-12-17T19:20:13+00:00;2023-12-20T00:43:18+00:00;MIT License;JavaScript;True;MONOREPO (Indício);workspaces;Estrutura Monorepo
jxxghp/MoviePilot-Frontend;https://github.com/jxxghp/MoviePilot-Frontend;273;208;3118;43;16;2023-06-24T00:22:57+00:00;2025-11-25T07:56:01+00:00;MIT License;Vue;True;CONFIRMADO;vite-plugin-federation;Framework MFE
ilumin/poc-react-module-federation;https://github.com/ilumin/poc-react-module-federation;3;1;12;1;0;2022-08-31T08:10:46+00:00;2022-08-31T08:11:36+00:00;;JavaScript;False;MONOREPO (Indício);workspaces;Estrutura Monorepo
leslie628/user-profile;https://github.com/leslie628/user-profile;0;0;11;1;0;2025-06-01T21:43:18+00:00;2025-06-03T11:56:30+00:00;;JavaScript;False;CONFIRMADO;single-spa;Framework MFE
trustyoo86/mf-next-vite;https://github.com/trustyoo86/mf-next-vite;1;0;13;2;0;2024-06-10T01:53:15+00:00;2024-06-17T08:50:55+00:00;;TypeScript;False;MONOREPO (Indício);turbo, workspaces;Estrutura Monorepo
blitzstudios/sleeper-mini-core;https://github.com/blitzstudios/sleeper-mini-core;4;0;70;4;0;2023-03-23T19:38:30+00:00;2025-12-03T17:24:12+00:00;;JavaScript;False;CONFIRMADO;module-federation;Framework MFE
DavidCamelo/components-ui;https://github.com/DavidCamelo/components-ui;0;0;159;1;0;2025-05-30T20:56:44+00:00;2025-11-22T02:39:45+00:00;;JavaScript;False;CONFIRMADO;vite-plugin-federation;Framework MFE
