repo_name;url;stars;forks;commits;contributors;open_issues;creation_date;last_push_date;license;language;has_license_file;Validacao_Tecnica;Evidencias;Tipo_Evidencia
krzvcho/react-mfa-shell;https://github.com/krzvcho/react-mfa-shell;0;0;14;1;0;2025-09-10T19:36:40+00:00;2025-10-19T10:33:19+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
plainionist/AboutCleanCode;https://github.com/plainionist/AboutCleanCode;54;9;255;3;0;2022-02-05T07:10:39+00:00;2025-06-04T06:00:33+00:00;"BSD 3-Clause ""New"" or ""Revised"" License";C#;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
yuskraft/remote-module-loader;https://github.com/yuskraft/remote-module-loader;5;0;13;1;0;2025-01-30T13:01:55+00:00;2025-05-14T09:46:58+00:00;MIT License;TypeScript;True;REJEITAR (Sem Evidência);;Nenhuma
kanglover/learn;https://github.com/kanglover/learn;0;0;54;1;56;2020-04-22T16:15:54+00:00;2025-03-21T07:27:29+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
Apoleh/Portfolio;https://github.com/Apoleh/Portfolio;0;0;27;2;0;2025-01-27T00:14:15+00:00;2025-02-25T18:50:54+00:00;;Java;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
OpenC3/cosmos;https://github.com/OpenC3/cosmos;181;61;9623;66;290;2022-07-11T18:49:34+00:00;2025-12-04T00:46:13+00:00;Other;Ruby;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
single-spa/single-spa-playground;https://github.com/single-spa/single-spa-playground;43;9;63;8;15;2019-03-22T21:50:38+00:00;2025-06-19T20:26:16+00:00;MIT License;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
ManasRaj241/UsedCarSalesPortal;https://github.com/ManasRaj241/UsedCarSalesPortal;0;1;15;2;0;2023-12-11T10:16:26+00:00;2024-01-23T05:35:16+00:00;;C#;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
fwdays-modern-fe/fwdays-modern-frontend-examples;https://github.com/fwdays-modern-fe/fwdays-modern-frontend-examples;0;0;37;2;0;2024-12-29T19:23:55+00:00;2025-02-09T13:21:44+00:00;Apache License 2.0;JavaScript;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
Streamings-Team2/mfe-st-error;https://github.com/Streamings-Team2/mfe-st-error;0;0;14;3;0;2024-11-07T15:32:45+00:00;2025-02-05T00:04:35+00:00;MIT License;TypeScript;True;REJEITAR (Sem Evidência);;Nenhuma
imatiqul/micro-frontend-react;https://github.com/imatiqul/micro-frontend-react;15;11;21;2;0;2021-11-28T00:06:09+00:00;2024-04-14T01:39:11+00:00;MIT License;SCSS;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
saffog/bb-micro-frontend;https://github.com/saffog/bb-micro-frontend;0;2;164;7;23;2023-11-08T16:00:31+00:00;2024-01-10T17:46:23+00:00;;TypeScript;False;REJEITAR (Sem Evidência);;Nenhuma
Sudhirsin/webpack-learn;https://github.com/Sudhirsin/webpack-learn;1;0;36;1;0;2024-08-12T08:28:47+00:00;2024-09-13T08:53:53+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
head-js/backstage;https://github.com/head-js/backstage;0;0;12;1;0;2013-12-10T04:15:17+00:00;2025-06-23T04:55:47+00:00;;JavaScript;False;REJEITAR (Sem Evidência);;Nenhuma
DWSENG/dsoe-home;https://github.com/DWSENG/dsoe-home;0;0;48;1;8;2021-02-05T01:01:23+00:00;2021-05-27T21:37:18+00:00;;JavaScript;False;REJEITAR (Sem Evidência);;Nenhuma
sithum20210380/Qoria-Dashboard;https://github.com/sithum20210380/Qoria-Dashboard;0;0;29;1;0;2025-06-30T18:17:48+00:00;2025-07-03T21:14:59+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
HenrietteLehtonen/micro-front;https://github.com/HenrietteLehtonen/micro-front;1;0;20;4;0;2025-09-20T14:10:32+00:00;2025-09-29T09:06:32+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
tleclere-jahia/jahia-training-developer;https://github.com/tleclere-jahia/jahia-training-developer;0;0;203;1;0;2022-01-28T11:58:13+00:00;2025-11-21T12:22:18+00:00;;Java;False;REJEITAR (Sem Evidência);;Nenhuma
Marcelx8/react-mf-header;https://github.com/Marcelx8/react-mf-header;0;0;10;2;0;2021-10-27T05:44:12+00:00;2021-10-27T13:25:14+00:00;;JavaScript;False;REJEITAR (Sem Evidência);;Nenhuma
nanlabs/frontend-reference;https://github.com/nanlabs/frontend-reference;17;5;289;16;44;2023-05-31T06:30:15+00:00;2025-04-30T16:25:32+00:00;MIT License;TypeScript;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
thedatasnok/module-federation-demo;https://github.com/thedatasnok/module-federation-demo;0;0;10;1;0;2022-11-22T21:25:18+00:00;2022-12-04T13:05:11+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
single-spa/create-single-spa;https://github.com/single-spa/create-single-spa;138;59;368;26;37;2019-06-29T17:05:03+00:00;2025-10-01T20:25:22+00:00;Other;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
scottwalter-nice/scotts-pocs;https://github.com/scottwalter-nice/scotts-pocs;0;1;68;3;0;2023-08-01T18:40:04+00:00;2025-08-29T18:31:17+00:00;;TypeScript;False;REJEITAR (Sem Evidência);;Nenhuma
pedrolopes-ilv/react-vue-module-federation;https://github.com/pedrolopes-ilv/react-vue-module-federation;0;0;10;1;0;2024-07-30T00:46:06+00:00;2024-07-30T12:41:20+00:00;;CSS;False;REJEITAR (Sem Evidência);;Nenhuma
yangban2/whaleback;https://github.com/yangban2/whaleback;0;0;29;1;0;2024-11-17T12:33:05+00:00;2025-05-15T09:46:30+00:00;;TypeScript;False;REJEITAR (Sem Evidência);;Nenhuma
flybywiresim/simbridge;https://github.com/flybywiresim/simbridge;26;35;192;18;23;2021-12-18T15:27:36+00:00;2025-11-08T20:27:56+00:00;GNU General Public License v3.0;TypeScript;True;REJEITAR (Sem Evidência);;Nenhuma
NeoSOFT-Technologies/mf-shell;https://github.com/NeoSOFT-Technologies/mf-shell;3;5;59;7;3;2022-05-04T08:01:49+00:00;2023-09-11T07:07:51+00:00;Apache License 2.0;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
alkemata/jupyter_flask_ext;https://github.com/alkemata/jupyter_flask_ext;0;0;2763;65;1;2024-08-23T10:07:04+00:00;2025-01-01T16:17:11+00:00;"BSD 3-Clause ""New"" or ""Revised"" License";TypeScript;True;REJEITAR (Sem Evidência);;Nenhuma
Jerryqun/bad-writing;https://github.com/Jerryqun/bad-writing;2;0;428;3;0;2024-01-26T02:00:52+00:00;2025-12-01T02:44:04+00:00;MIT License;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
PedroPadilhaPortella/Microfrontends_with_React;https://github.com/PedroPadilhaPortella/Microfrontends_with_React;0;0;30;1;0;2023-10-03T21:52:06+00:00;2023-10-21T02:05:07+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
geosolutions-it/MapStore2-C098;https://github.com/geosolutions-it/MapStore2-C098;0;6;28;5;4;2018-12-04T11:58:28+00:00;2023-01-23T10:30:55+00:00;Other;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
MarkBojeHording/audio;https://github.com/MarkBojeHording/audio;0;0;12;1;0;2025-06-16T09:22:40+00:00;2025-06-17T06:34:13+00:00;;TypeScript;False;REJEITAR (Sem Evidência);;Nenhuma
vishal-joshy/react-micro-kit;https://github.com/vishal-joshy/react-micro-kit;0;0;26;1;0;2024-01-18T11:14:04+00:00;2025-02-12T10:41:02+00:00;MIT License;TypeScript;True;REJEITAR (Sem Evidência);;Nenhuma
zalito12/Portfolio;https://github.com/zalito12/Portfolio;2;0;11;2;0;2022-09-01T15:20:02+00:00;2024-05-23T21:51:24+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
deepakkum21/webpack;https://github.com/deepakkum21/webpack;0;0;47;1;0;2022-12-28T04:20:34+00:00;2025-08-17T18:38:48+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
mayur256/react-examples;https://github.com/mayur256/react-examples;2;0;176;1;0;2022-07-10T17:39:27+00:00;2024-05-04T18:13:42+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
Desarrollo-DS3/microfrontend-spa-1;https://github.com/Desarrollo-DS3/microfrontend-spa-1;0;0;20;1;0;2024-11-26T22:02:24+00:00;2024-11-28T23:51:36+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
ltoffanettireply/aleph_alpha_workshop_yellow_team;https://github.com/ltoffanettireply/aleph_alpha_workshop_yellow_team;0;0;14;4;0;2025-06-25T11:21:44+00:00;2025-06-26T13:23:54+00:00;;Python;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
rudr19/flowbit-assignment;https://github.com/rudr19/flowbit-assignment;0;0;11;1;0;2025-07-16T16:35:29+00:00;2025-07-16T17:39:00+00:00;;JavaScript;False;REJEITAR (Sem Evidência);;Nenhuma
